"Gene"	"logFC"	"AveExpr"
"Bag3"	1.10168136741986	2.02559834946492
"Bmpr1b"	0.676093653348989	3.33381210123714
"Sdc2"	0.782254887756075	5.45963269054532
"Il1r1"	1.56523390779334	2.30735189076772
"Cpxm2"	3.02310228513102	3.48538125872988
"Sdc4"	0.990200682205683	5.02672788141654
"Adh1"	4.01937656997429	0.410576772378958
"Tmtc2"	0.725333924375471	4.50369591972804
"Gsdmd"	1.02354613516854	2.7342805461754
"Coch"	1.54537880245516	2.9760990989807
"Ier3"	2.10634693481614	2.42420600823281
"Pdgfrb"	0.879953684929302	5.99057022888829
"Dse"	1.15406263643155	3.86628149855621
"Elovl5"	0.563274281871149	5.83367700252796
"Pcdh7"	0.729365761125266	7.41507465899898
"Trim47"	0.825504046285542	2.96193044048633
"Glul"	0.712413862724306	9.86842345259847
"Ccnd2"	0.650265643921201	6.07399417388819
"Lhx2"	0.786594732117066	6.34022310717555
"Plcb1"	-0.583174976805158	8.38592792700034
"Abcg3l2"	1.17406658335402	1.93603411274567
"C1s"	1.90722172276981	2.8404476673533
"Slc26a7"	2.30800483459333	1.73357221525883
"Clmp"	0.7225498281259	6.20202251507776
"Six2"	3.06846280090196	-1.96479470540659
"Ifitm1"	2.15444128535072	0.136622123855531
"Tmem132a"	-0.593400341905558	9.52626477732555
"Bicc1"	1.57212057003609	3.16306671409273
"Glud1"	0.434513821050583	9.11039846931698
"Sp140"	1.52064371736819	1.76800984747878
"B4galt1"	1.57885313215363	2.05078483221287
"Gtdc1"	-0.550597332711523	5.17541101252656
"Aox3"	2.75549181393157	0.545132888875896
"Suclg2"	0.701116153722847	5.91147932237416
"Piezo1"	1.14819602021706	4.03315003839106
"Ptgdrl"	2.85288861368247	-0.982221306360879
"Gjb2"	3.8201706130764	3.01671467878812
"Tbx15"	2.87502286888903	-0.146786041706191
"Itgb5"	0.660378946771637	5.71417681879052
"Ttc22"	-1.09689663932858	3.34029962764114
"Dcdc2"	1.6532781635604	2.93044218816343
"Pcdh8"	1.14865026004996	6.40123484816905
"Vamp5"	2.05154449317489	0.99697414939317
"Angpt1"	1.16875243067898	2.95395026528093
"Klf15"	0.58270063730118	4.35197137010775
"Stard8"	1.15709477178469	3.47039289262801
"Slc16a12"	1.73187296163424	2.47798927311901
"RT1-Da"	2.99402738650447	-1.04382140547429
"C1r"	2.31133807151355	3.78158189714535
"Bcam"	1.00868576373933	4.31551460888037
"Fmo3"	3.72643129607931	0.433115118848546
"Pkd2"	0.640595913726314	5.253437002884
"Cpt2"	0.749363630380997	3.56688267122774
"Fgf16"	1.79509374331873	0.432021470245559
"Thbs2"	2.34845926612553	3.32727273666885
"Cyp4v3"	1.03190933764576	2.69223148229603
"Flnb"	0.823566613264389	6.74570078036898
"Camkv"	-0.48025276955535	9.34297822720006
"Tmod3"	0.665871772114885	5.06870550138615
"Ehd2"	1.40797656232889	3.01189548803481
"Cpne3"	0.728524114281379	3.65577609929564
"Hs3st6"	3.08182334572835	-0.634083434753
"Col1a1"	4.38899253223255	4.94353383445166
"Hpcal4"	-0.554968528837211	6.51393171627421
"Ldlrad4"	0.539277600257607	4.6763450295783
"Myh4"	-2.4372676612633	-0.782214886398758
"Ppp1r3b"	3.07250741970057	1.5486326607041
"Kif19"	1.32896168935436	2.81014447921499
"Tmem163"	-1.24801649460812	5.28177437351493
"Colec12"	3.31618157953358	3.99633668083547
"Rspo1"	-1.95624485278761	0.068277411880838
"Sft2d2"	1.20329953032659	3.66214695923339
"Slc25a14"	-0.469120417668718	5.47246055986977
"Synm"	0.863214021379201	5.48200599319845
"Lpp"	1.23540423686904	3.20177267347821
"Ptgdr"	2.78651782020899	-1.26682002170235
"Akr1c14"	3.22754582985599	2.08015279268655
"Syt5"	-0.419973097881008	7.73399462847994
"Sparcl1"	0.619588064561162	10.598357955394
"Col3a1"	3.89005065442289	5.46551458954531
"Vcam1"	0.641101654782869	5.63870592370868
"Rreb1"	1.21600526871283	3.56616639846109
"Man1a1"	0.971692682273493	5.59438004358242
"Krt19"	2.69805304557044	0.448811070530272
"Lef1"	1.3517992521281	1.86469676727645
"Rbp4"	1.90073625415644	4.06678524131074
"Dtx3l"	1.52161553002356	1.75028062074545
"Kcnk1"	-0.5021418009129	5.65443141851897
"Alx1"	3.19571425477592	-0.756869361659414
"Plscr4"	1.07716058320082	2.28576792841757
"Wdr72"	3.1232236732437	-1.26962611239756
"Retsat"	0.675417095095082	5.56357041851935
"Tln1"	0.744384378454547	6.76528125054283
"Trim5"	1.10226888063856	3.26754108281188
"Adamts3"	-1.28760587550203	4.7118331974155
"Ephx1"	0.89710468135673	4.84540254464424
"Ifitm2"	1.54300451220688	3.97200731119725
"Pdgfd"	1.21105287446942	1.51959437346882
"Lgals3"	2.37594778959648	0.59971337566948
"Thnsl2"	0.764580506864658	2.58340725679379
"Abcc4"	0.614840740891323	4.47390482508625
"Abhd4"	0.524700680943947	6.62750599386365
"Chrna5"	-1.1931349086852	3.52339617322003
"Rab13"	0.966707480207823	3.24334334215371
"Acacb"	1.08420374924396	3.21036196947119
"Pik3r1"	-0.413519498024635	7.1141365120891
"Acy3"	0.884633486585655	2.28104576952322
"Epha2"	1.27015113469556	1.93985702952708
"Abcg3l3"	2.63011492102064	0.314271555564952
